No,Company,Number of Vacancies,Last Posted Date
1,PT Star Parts Motor,2,11/22/2021
2,PT VIVO MOBILE INDONESIA,2,11/15/2021
3,PT. BPR Karyajatnika Sadaya (BPR KS),1,11/17/2021
4,PT. Jesara Melati Indonesia (Naked & Free),1,11/15/2021
5,Sutindo Group,1,11/30/2021
6,Triputra Group,1,11/17/2021
7,"PT Summarecon Agung, Tbk",1,11/09/2021
8,PT Surya Multi Laksana,1,11/03/2021
9,PT Talentvis Consulting Indonesia,1,11/11/2021
10,PT Triwijaya Abadi Perkasa,1,11/17/2021
11,PT Unitama Sari Mas,1,11/30/2021
12,bank btpn,1,11/03/2021
13,Cahaya Bangsa Classical School,1,11/10/2021
14,Galeri Ciumbuleuit Group,1,11/05/2021
15,Multikarya Land Development,1,11/11/2021
16,MyYoora,1,11/15/2021
17,OPTIK MERIDIAN,1,11/11/2021
18,PT ADI MAKMUR SENTOSA,1,11/05/2021
19,PT Arista Pratama Jaya,1,11/05/2021
20,PT Astra Otoparts Tbk.,1,11/30/2021
21,PT Baria Bulk Terminal,1,11/09/2021
22,PT Best Colour Indonesia,1,11/10/2021
23,PT Central Georgette Nusantara (Fujitex Group),1,11/17/2021
24,PT China Taiping Insurance Indonesia,1,11/03/2021
25,PT Didi Max Berjangka,1,11/25/2021
26,PT Geek Portal Indonesia,1,11/05/2021
27,PT Hakatex,1,11/22/2021
28,PT Jesara Melati Indonesia (Naked & Free),1,11/22/2021
29,PT Long Harmony Industry,1,11/03/2021
30,PT Mandiri Maslahat Masagi – UNPAD,1,11/04/2021
31,PT Multi Wahana Kencana (Mr. Kitchen),1,11/22/2021
32,PT Mulya Kencana Metalindo,1,11/25/2021
33,PT Panca Abadi Nan Jaya (Sushi Tei),1,11/10/2021
34,PT Pelita Abadi Sejahtera,1,11/17/2021
35,PT Perintis Karya Sentosa,1,11/05/2021
36,PT PERUSAHAAN INDUSTRI CERES,1,11/15/2021
37,PT Pou Yuen Indonesia,1,11/30/2021
38,PT Redy Indonesia Berkarya,1,11/19/2021
39,PT SABA INDOMEDIKA,1,11/25/2021
