Company,# Jobs posted,Last Job posted,# Application Sent
Dengan Senang Teknologi,5,06/23/2022,0
PT Central Texindo,5,08/08/2022,0
OCBC Nisp,4,07/18/2022,2
PT Akur Pratama,4,07/29/2022,0
PT Japan Asia Consultants,4,07/15/2022,0
MT Jewerly,3,07/20/2022,2
Galeri Ciumbuleuit Group,3,06/17/2022,0
PT Star Parts Motor,3,07/28/2022,0
PT VIVO MOBILE INDONESIA,3,08/02/2022,0
UNIBI (Universitas Informatika dan  Bisnis Indonesia),3,07/25/2022,0
PT CENTRAL GEORGETTE NUSANTARA,3,07/14/2022,0
PT Sinar Mas Multifinance,2,08/03/2022,0
PT. Mitra Perdana Nuansa,2,04/12/2022,1
bank btpn,2,08/02/2022,0
"PT Charoen Pokphand Indonesia, Tbk",2,08/08/2022,0
PT Karya Utama Putra Mandiri,2,08/01/2022,0
PT GISTEX,2,08/03/2022,0
PT Leading Garment Industries,2,02/22/2022,2
PT LOTUS LINGGA PRATAMA,1,06/13/2022,0
PT Maha Kreasi Indonesia,1,02/24/2022,0
PT Maha Tandra (MT Jewerly),1,06/09/2022,0
PT Mandiri Tunas Finance,1,06/28/2022,0
PT Medion Jobs,1,06/10/2022,0
PT Metro Garmin,1,06/10/2022,0
PT Mulia Industrindo,1,07/28/2022,0
PT Multi Karya Utama Abadi,1,06/24/2022,0
PT Mulya Adi Paramita,1,07/14/2022,0
PT NAF Karya Indonesia,1,03/22/2022,0
PT Panca Abadi Nan Jaya (Sushi Tei),1,02/28/2022,0
PT Perintis Karya Sentosa,1,03/14/2022,1
PT Plastin Eka Prakarsa,1,08/08/2022,0
PT Putera Mulya Terang Indah,1,03/18/2022,0
PT Salam Pacific Indonesia Lines,1,06/10/2022,0
PT Sanggar Indah Karya Sentosa,1,07/14/2022,0
PT Santos Jaya Abadi,1,07/22/2022,0
PT Gistex Garmen Indonesia,1,06/10/2022,0
PT GLOBAL KAPITAL INVESTAMA,1,02/23/2022,0
PT Graha Technosoft Informatika,1,06/21/2022,0
PT Great Thiofilus Perkasa,1,02/25/2022,0
PT Indofood CBP Sukses Makmur divisi Nutrition and Special Foods,1,06/29/2022,0
PT Indonesia Epson Industry,1,06/14/2022,0
PT Ingenevo Indo Jaya,1,02/23/2022,0
PT Itasof Pelagus Global,1,03/29/2022,0
PT Karya UtamaPutra Mandiri,1,03/30/2022,0
PT Laser Indonesia,1,06/29/2022,0
Nirwana Group,1,06/15/2022,0
PT Java Anugrah Teknindo,1,03/09/2022,0
PT Kaltim Jaya Bara,1,02/10/2022,0
PT KAO Indonesia,1,06/09/2022,0
PT Daya  Pratama Lestari,1,02/21/2022,0
PT Djarum,1,02/18/2022,0
PT Extramarks Education Indonesia (Kelas Pintar),1,02/11/2022,0
Panin Bank,1,06/10/2022,0
PT ADI MAKMUR SENTOSA,1,07/22/2022,0
PT AKR Corporindo Tbk,1,06/30/2022,0
PT ALMASINDO,1,02/10/2022,0
PT Arista Pratama Jaya,1,03/24/2022,0
PT Arta Boga Cemerlang,1,07/07/2022,0
PT Asia Pramulia,1,07/29/2022,0
PT Ateja Tritunggal,1,06/10/2022,0
PT Bank Supradanamas,1,03/11/2022,0
PT Beton Elemenindo Perkasa,1,06/15/2022,0
BHERNADYA THERESIA NANING DAN REKAN (FIRMA),1,07/19/2022,0
BPR KS,1,07/28/2022,0
Cahaya Bangsa Classical School,1,02/18/2022,1
China State Construction Engineering Corporation Ltd,1,06/21/2022,0
CV Dua Malaikat (Stroberi Accessories),1,03/24/2022,0
CV Mekar Agung Solutions,1,05/18/2022,0
CV Vicci,1,06/16/2022,0
DBC Group,1,02/17/2022,0
Hakka Indonesia,1,07/11/2022,0
ID Pratama,1,05/13/2022,0
Inti Corpora Teknologi,1,06/10/2022,0
J&T Express,1,07/19/2022,0
Karunia Global School,1,06/10/2022,0
Kumpul,1,02/24/2022,0
Duniatex Group,1,02/10/2022,0
Anter Aja,1,06/20/2022,0
Apical Group,1,07/07/2022,0
PT. Multi Star Rukun Abadi (Sharon Bakery),1,06/16/2022,0
PT. SUGIH INSTRUMENDO ABADI,1,06/24/2022,0
PT. SWAKARYA INSAN MANDIRI,1,02/14/2022,0
Sekolah HighScope Indonesia,1,08/08/2022,0
Sekolah Kristen Ipeka,1,02/18/2022,0
Sequoia School,1,03/16/2022,0
SUN Education Group,1,07/21/2022,0
Trimulia,1,02/14/2022,0
Triputra Group,1,06/10/2022,0
PT Sumatera Dinamika Utama,1,08/03/2022,0
PT Sumber Kasih Alami,1,02/15/2022,0
PT Tekad Mandiri Citra,1,02/23/2022,0
PT Teradata Megah,1,08/01/2022,0
PT Transon Bumindo Resources,1,08/01/2022,0
PT Tricada Intronik,1,06/10/2022,0
PT Unggul Bukit Kencana,1,02/21/2022,0
PT Vitapharm,1,07/07/2022,0
Uniqlo,1,03/30/2022,0
Wisata Bandung,1,06/24/2022,0
yayasan wilwatikta sriphala nusantara,1,03/22/2022,0
PT. AYOE INDOTAMA TEXTILE,1,03/18/2022,1
PT. Dewa Sutra Tex,1,06/10/2022,0
PT. Kabayan Aishwarya Nusantara,1,03/04/2022,0
PT. Mahkota Permata Perdana ( Summarecon Bandung),1,03/29/2022,0
