Company,# Jobs posted,Last Job posted,# Application Sent
PT Leading Garment Industries,2,02/22/2022,2
Galeri Ciumbuleuit Group,2,02/25/2022,0
HLB Indonesia,1,02/02/2022,0
Kumpul,1,02/24/2022,0
PT Akur Pratama,1,02/22/2022,0
PT ALMASINDO,1,02/10/2022,0
PT Daya  Pratama Lestari,1,02/21/2022,0
PT Djarum,1,02/18/2022,0
PT Extramarks Education Indonesia (Kelas Pintar),1,02/11/2022,0
PT GLOBAL KAPITAL INVESTAMA,1,02/23/2022,0
PT Great Thiofilus Perkasa,1,02/25/2022,0
PT Indomobil Finance Indonesia,1,02/04/2022,0
PT Ingenevo Indo Jaya,1,02/23/2022,0
PT Jalur Mandiri Utama,1,02/04/2022,0
PT Japan Asia Consultants,1,02/07/2022,0
PT Kaltim Jaya Bara,1,02/10/2022,0
Cahaya Bangsa Classical School,1,02/18/2022,1
CV TRIDAYA ANUGRAH UTAMA PROPERTI,1,02/07/2022,0
DBC Group,1,02/17/2022,0
Drs. Sanusi & Partners,1,02/03/2022,0
Duniatex Group,1,02/10/2022,0
PT Maha Kreasi Indonesia,1,02/24/2022,0
PT Masterindo Jaya Abadi,1,02/03/2022,0
PT Medion,1,02/09/2022,0
PT Panca Abadi Nan Jaya (Sushi Tei),1,02/28/2022,0
PT Sinar Continental,1,02/04/2022,0
PT Sumber Kasih Alami,1,02/15/2022,0
PT Tekad Mandiri Citra,1,02/23/2022,0
PT Tricada Intronik,1,02/08/2022,0
PT Unggul Bukit Kencana,1,02/21/2022,0
PT VIVO MOBILE INDONESIA,1,02/08/2022,0
PT. Jatnika Karisma,1,02/09/2022,0
PT. SWAKARYA INSAN MANDIRI,1,02/14/2022,0
Sekolah Kristen Ipeka,1,02/18/2022,0
Silver Textile Bandung,1,02/02/2022,0
Trimulia,1,02/14/2022,0
