Company,# Jobs posted,Last Job posted,# Application Sent
MT Jewerly,2,07/20/2022,2
OCBC Nisp,2,07/18/2022,2
PT Japan Asia Consultants,2,07/15/2022,0
PT Central Texindo,2,07/25/2022,0
UNIBI (Universitas Informatika dan  Bisnis Indonesia),2,07/25/2022,0
PT GISTEX,1,07/29/2022,0
PT Mulia Industrindo,1,07/28/2022,0
PT Mulya Adi Paramita,1,07/14/2022,0
PT Sanggar Indah Karya Sentosa,1,07/14/2022,0
PT Santos Jaya Abadi,1,07/22/2022,0
PT Star Parts Motor,1,07/28/2022,0
PT Vitapharm,1,07/07/2022,0
PT VIVO MOBILE INDONESIA,1,07/07/2022,0
SUN Education Group,1,07/21/2022,0
PT ADI MAKMUR SENTOSA,1,07/22/2022,0
PT Akur Pratama,1,07/29/2022,0
PT Arta Boga Cemerlang,1,07/07/2022,0
PT Asia Pramulia,1,07/29/2022,0
PT CENTRAL GEORGETTE NUSANTARA,1,07/14/2022,0
Apical Group,1,07/07/2022,0
BHERNADYA THERESIA NANING DAN REKAN (FIRMA),1,07/19/2022,0
BPR KS,1,07/28/2022,0
Hakka Indonesia,1,07/11/2022,0
J&T Express,1,07/19/2022,0
