Company,# Jobs posted,Last Job posted,# Application Sent
Dengan Senang Teknologi,5,06/23/2022,0
PT CENTRAL GEORGETTE NUSANTARA,2,06/13/2022,0
PT Central Texindo,2,06/21/2022,0
PT Japan Asia Consultants,2,06/16/2022,0
PT KAO Indonesia,1,06/09/2022,0
PT Laser Indonesia,1,06/29/2022,0
PT LOTUS LINGGA PRATAMA,1,06/13/2022,0
PT Maha Tandra (MT Jewerly),1,06/09/2022,0
PT Mandiri Tunas Finance,1,06/28/2022,0
PT Medion Jobs,1,06/10/2022,0
PT Metro Garmin,1,06/10/2022,0
PT Multi Karya Utama Abadi,1,06/24/2022,0
PT Salam Pacific Indonesia Lines,1,06/10/2022,0
PT Star Parts Motor,1,06/24/2022,0
PT Tricada Intronik,1,06/10/2022,0
PT. Dewa Sutra Tex,1,06/10/2022,0
PT. Multi Star Rukun Abadi (Sharon Bakery),1,06/16/2022,0
PT. SUGIH INSTRUMENDO ABADI,1,06/24/2022,0
Triputra Group,1,06/10/2022,0
UNIBI (Universitas Informatika dan  Bisnis Indonesia),1,06/29/2022,0
Wisata Bandung,1,06/24/2022,0
"PT Charoen Pokphand Indonesia, Tbk",1,06/28/2022,0
PT Gistex Garmen Indonesia,1,06/10/2022,0
PT Graha Technosoft Informatika,1,06/21/2022,0
PT Indofood CBP Sukses Makmur divisi Nutrition and Special Foods,1,06/29/2022,0
PT Indonesia Epson Industry,1,06/14/2022,0
Anter Aja,1,06/20/2022,0
bank btpn,1,06/17/2022,0
China State Construction Engineering Corporation Ltd,1,06/21/2022,0
CV Vicci,1,06/16/2022,0
Galeri Ciumbuleuit Group,1,06/17/2022,0
Inti Corpora Teknologi,1,06/10/2022,0
Karunia Global School,1,06/10/2022,0
MT Jewerly,1,06/28/2022,0
Nirwana Group,1,06/15/2022,0
OCBC Nisp,1,06/28/2022,0
Panin Bank,1,06/10/2022,0
PT AKR Corporindo Tbk,1,06/30/2022,0
PT Akur Pratama,1,06/10/2022,0
PT Ateja Tritunggal,1,06/10/2022,0
PT Beton Elemenindo Perkasa,1,06/15/2022,0
