No,Company,Number of Vacancies,Last Posted Date,Employment Type
1,Bank  DBS Indonesia,2,10/23/2021,Full-time
2,Aston Niu Manokwari,1,10/05/2021,Full-time
3,PT Platinum Ceramics Industry,2,10/06/2021,Full-time
4,PT VIVO MOBILE INDONESIA,5,10/14/2021,Full-time
5,PT Japan Asia Consultants,1,10/23/2021,Full-time
6,PT Multi Wahana Kencana (Mr. Kitchen),2,10/23/2021,Full-time
7,Silver Textile Bandung,1,10/01/2021,Full-time
8,PT Tricada Intronik (Tritonik),2,10/23/2021,Internship
9,PT Central Georgette Nusantara (Fujitex Group),2,10/14/2021,Full-time
10,PT Daya  Pratama Lestari,4,10/15/2021,Full-time
11,Honda Ahmad Yani,1,10/07/2021,Full-time
12,Asia Pulp and Paper Sinarmas,1,10/01/2021,Full-time
13,PT Bright Properti Servis Indonesia (BPSI),2,10/07/2021,Full-time
14,KALBE NUTRITIONALS,1,10/15/2021,Full-time
15,Galeri Ciumbuleuit Group,1,10/05/2021,Full-time
16,PT GISTEX,1,10/15/2021,Full-time
17,PT Star Parts Motor,6,10/01/2021,Full-time
18,Pura Group,10,10/19/2021,Full-time
19,APRIL GROUP,1,10/25/2021,Full-time
20,PT Knitto Tekstil Indonesia,1,10/01/2021,Full-time
21,OneVision21,1,10/01/2021,
22,PT Gelindo Garmentama,1,10/23/2021,Full-time
23,China Construction Bank Indonesia,2,10/23/2021,Full-time
24,"PT Ultrajaya Milk Industry & Trading Company, Tbk",1,10/19/2021,Full-time
25,PT Hanyoung Electronic Indonesia,1,10/14/2021,Full-time
26,PT Central Georgette Nusantara (Fujitex Group),2,10/19/2021,Full-time
27,Central Spring Bed,4,10/23/2021,Full-time
28,PT Bernofarm,1,10/23/2021,Full-time
29,Triputra Group,2,10/07/2021,Full-time
30,"PT Malindo Feedmill, Tbk",1,10/15/2021,Full-time
31,PT Bali Mukti Shoe Factory,1,10/05/2021,Full-time
32,PT Triwijaya Abadi Perkasa,1,10/15/2021,Full-time
33,Multikarya Land Development,1,10/15/2021,Full-time
